dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=500,instruct,3,"token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.4626,6.973,9.882539231398368e-12,1,1
GSM8K n=500,instruct,3,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,1.2698,15.745,0.0,1,1
GSM8K n=500,instruct,3,"token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,0.9806,15.437,0.0,1,1
GSM8K n=500,instruct,3,"token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.4909,7.153,3.0382363291892034e-12,1,1
GSM8K n=500,instruct,3,"paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,1.1629,14.583,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency",500,2.2249,43.943,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",500,2.0749,34.932,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",500,1.7887,40.445,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",500,2.3856,37.701,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,2.1454,42.971,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,1.9927,34.259,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,2.4125,36.974,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,2.1661,41.718,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,2.0181,33.738,0.0,1,1
GSM8K n=500,instruct,4,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,2.327,35.868,0.0,1,1
GSM8K n=500,instruct,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,1.2963,16.138,0.0,1,1
GSM8K n=500,instruct,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,1.0215,16.22,0.0,1,1
GSM8K n=500,instruct,4,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.5284,7.711,6.838973831690964e-14,1,1
GSM8K n=500,instruct,4,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,1.2078,15.364,0.0,1,1
GSM8K n=500,instruct,4,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,1.2202,15.063,0.0,1,1
GSM8K n=500,instruct,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,2.4188,36.997,0.0,1,1
GSM8K n=500,instruct,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,2.1808,42.136,0.0,1,1
GSM8K n=500,instruct,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,2.0315,34.059,0.0,1,1
GSM8K n=500,instruct,5,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,2.3431,36.442,0.0,1,1
GSM8K n=500,instruct,5,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,2.3644,35.785,0.0,1,1
GSM8K n=500,instruct,5,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,1.2533,15.624,0.0,1,1
GSM8K n=500,instruct,6,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,2.3763,36.128,0.0,1,1
GSM8K n=500,thinking,1,latency_per_output_token,500,0.3757,9.3,0.0,1,1
GSM8K n=500,thinking,1,token_entropy_mean,50,0.2902,3.81,0.00038876633711715236,1,1
GSM8K n=500,thinking,1,token_entropy_slope,50,0.7292,4.585,3.155513257269149e-05,1,1
GSM8K n=500,thinking,1,paraphrase_consistency,458,0.1697,3.444,0.0006252604675109907,1,1
GSM8K n=500,thinking,1,perturbation_delta_accuracy,500,-0.1618,-2.884,0.004095979611121736,0,0
GSM8K n=500,thinking,1,mechanistic_intervention_delta_accuracy,50,-0.1277,-0.785,0.43641063038384575,0,0
GSM8K n=500,thinking,2,"latency_per_output_token,token_entropy_mean",500,0.3918,9.663,0.0,1,1
GSM8K n=500,thinking,2,"latency_per_output_token,token_entropy_slope",500,0.4195,9.963,0.0,1,1
GSM8K n=500,thinking,2,"latency_per_output_token,paraphrase_consistency",500,0.4746,9.537,0.0,1,1
GSM8K n=500,thinking,2,"latency_per_output_token,perturbation_delta_accuracy",500,0.2219,3.742,0.0002035830173117148,1,1
GSM8K n=500,thinking,2,"latency_per_output_token,mechanistic_intervention_delta_accuracy",500,0.3585,8.526,2.220446049250313e-16,1,1
GSM8K n=500,thinking,2,"token_entropy_mean,token_entropy_slope",50,0.8316,5.326,2.5080295291690646e-06,1,1
GSM8K n=500,thinking,2,"token_entropy_mean,paraphrase_consistency",464,0.1856,3.833,0.00014426805343514815,1,1
GSM8K n=500,thinking,2,"token_entropy_mean,perturbation_delta_accuracy",500,-0.1444,-2.58,0.010175381465795219,0,0
GSM8K n=500,thinking,2,"token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.0116,0.072,0.9431533671671712,1,0
GSM8K n=500,thinking,2,"token_entropy_slope,paraphrase_consistency",464,0.2295,4.535,7.331203972560374e-06,1,1
GSM8K n=500,thinking,2,"token_entropy_slope,perturbation_delta_accuracy",500,-0.1019,-1.766,0.07807783433980475,0,0
GSM8K n=500,thinking,2,"token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.3418,1.748,0.08674380023408257,1,0
GSM8K n=500,thinking,2,"paraphrase_consistency,perturbation_delta_accuracy",500,-0.0322,-0.518,0.6046554129071211,0,0
GSM8K n=500,thinking,2,"paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,0.1489,2.973,0.003100290315774634,1,1
GSM8K n=500,thinking,2,"perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.1763,-3.145,0.0017619653744938013,0,0
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_mean,token_entropy_slope",500,0.4295,10.155,0.0,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_mean,paraphrase_consistency",500,0.4852,9.771,0.0,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy",500,0.2309,3.892,0.00011276007069027649,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_mean,mechanistic_intervention_delta_accuracy",500,0.3678,8.724,0.0,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_slope,paraphrase_consistency",500,0.512,10.102,0.0,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy",500,0.259,4.309,1.9779198723535174e-05,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,token_entropy_slope,mechanistic_intervention_delta_accuracy",500,0.3904,9.11,0.0,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy",500,0.3129,5.03,6.869540469800484e-07,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,0.4553,8.97,0.0,1,1
GSM8K n=500,thinking,3,"latency_per_output_token,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.2061,3.463,0.0005809963748992786,1,1
GSM8K n=500,thinking,3,"token_entropy_mean,token_entropy_slope,paraphrase_consistency",464,0.2369,4.703,3.3950468785182153e-06,1,1
GSM8K n=500,thinking,3,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",500,-0.0967,-1.675,0.09447361870185045,0,0
GSM8K n=500,thinking,3,"token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.4339,2.208,0.03197784718207686,1,1
GSM8K n=500,thinking,3,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",500,-0.0198,-0.321,0.7485702489853754,0,0
GSM8K n=500,thinking,3,"token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,0.1613,3.235,0.0013027852219025249,1,1
GSM8K n=500,thinking,3,"token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.1668,-2.979,0.003036487068700966,0,0
GSM8K n=500,thinking,3,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,0.0184,0.293,0.7693177191153844,1,0
GSM8K n=500,thinking,3,"token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,0.1942,3.812,0.00015626857263728589,1,1
GSM8K n=500,thinking,3,"token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.1334,-2.335,0.019918247039537373,0,0
GSM8K n=500,thinking,3,"paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.048,-0.78,0.43598642946194155,0,0
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency",500,0.5192,10.256,0.0,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",500,0.2649,4.4,1.3240574108897007e-05,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",500,0.3983,9.25,0.0,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",500,0.321,5.167,3.440925373521253e-07,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,0.4634,9.134,0.0,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.2122,3.565,0.0003987203049671262,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,0.3468,5.543,4.825213872905465e-08,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,0.485,9.484,0.0,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.2357,3.927,9.826652981037576e-05,1,1
GSM8K n=500,thinking,4,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.2979,4.793,2.1716215650169346e-06,1,1
GSM8K n=500,thinking,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,0.0236,0.378,0.7052617229090687,1,0
GSM8K n=500,thinking,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,0.203,3.986,7.815817150436111e-05,1,1
GSM8K n=500,thinking,4,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.1274,-2.227,0.026395724045091384,0,0
GSM8K n=500,thinking,4,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.0397,-0.647,0.5177603953914103,0,0
GSM8K n=500,thinking,4,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.0089,-0.144,0.8856308787187692,0,0
GSM8K n=500,thinking,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",500,0.3526,5.635,2.9286179037413262e-08,1,1
GSM8K n=500,thinking,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,0.4922,9.612,0.0,1,1
GSM8K n=500,thinking,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.2409,4.006,7.105918159822089e-05,1,1
GSM8K n=500,thinking,5,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.3032,4.882,1.4181773277943677e-06,1,1
GSM8K n=500,thinking,5,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.3254,5.215,2.703280153060206e-07,1,1
GSM8K n=500,thinking,5,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,-0.0033,-0.053,0.9576631419650741,0,0
GSM8K n=500,thinking,6,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.3302,5.289,1.8455253125715387e-07,1,1
