dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,1.812,7.959,2.2070167915444472e-10,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.6059,7.056,5.434652727842604e-09,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,2.6301,9.948,2.395861287141088e-13,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,2.0483,7.698,5.5475091187418e-10,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.8692,7.251,2.710215163403973e-09,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.7212,6.962,7.585548633670669e-09,1,1
GSM8K n=50,instruct,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,1.9111,6.458,4.593130009666879e-08,1,1
GSM8K n=50,instruct,4,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,1.3555,4.903,1.0765365468845545e-05,1,1
GSM8K n=50,instruct,4,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.1166,4.006,0.00020918225371802102,1,1
GSM8K n=50,instruct,4,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.0068,3.887,0.00030557318472634876,1,1
GSM8K n=50,instruct,4,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.1057,3.493,0.0010226876948518093,1,1
GSM8K n=50,instruct,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,2.707,9.818,3.6926017799032707e-13,1,1
GSM8K n=50,instruct,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,2.1908,8.238,8.281952901256773e-11,1,1
GSM8K n=50,instruct,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,2.0255,7.703,5.459699359278147e-10,1,1
GSM8K n=50,instruct,5,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.9058,7.751,4.5959791528105143e-10,1,1
GSM8K n=50,instruct,5,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,2.1278,7.517,1.0528578009427747e-09,1,1
GSM8K n=50,instruct,5,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.4628,4.846,1.307577403575344e-05,1,1
GSM8K n=50,instruct,6,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,2.2609,7.953,2.2537949284640035e-10,1,1
GSM8K n=50,thinking,1,latency_per_output_token,50,0.4061,3.807,0.00039199576402748626,1,1
GSM8K n=50,thinking,1,token_entropy_mean,50,0.2902,3.81,0.00038876633711715236,1,1
GSM8K n=50,thinking,1,token_entropy_slope,50,0.7292,4.585,3.155513257269149e-05,1,1
GSM8K n=50,thinking,1,paraphrase_consistency,45,-0.2234,-1.421,0.16224680770729494,0,0
GSM8K n=50,thinking,1,perturbation_delta_accuracy,50,0.0,0.0,0.9999999999999998,1,0
GSM8K n=50,thinking,1,mechanistic_intervention_delta_accuracy,50,-0.1277,-0.785,0.43641063038384575,0,0
GSM8K n=50,thinking,2,"latency_per_output_token,token_entropy_mean",50,0.5568,4.847,1.3039536304049193e-05,1,1
GSM8K n=50,thinking,2,"latency_per_output_token,token_entropy_slope",50,0.8791,6.099,1.6477262598790787e-07,1,1
GSM8K n=50,thinking,2,"latency_per_output_token,paraphrase_consistency",50,0.2184,1.504,0.13902980069588033,1,0
GSM8K n=50,thinking,2,"latency_per_output_token,perturbation_delta_accuracy",50,0.3546,1.906,0.06253361416917924,1,0
GSM8K n=50,thinking,2,"latency_per_output_token,mechanistic_intervention_delta_accuracy",50,0.2443,1.556,0.12623082081502823,1,0
GSM8K n=50,thinking,2,"token_entropy_mean,token_entropy_slope",50,0.8316,5.326,2.5080295291690646e-06,1,1
GSM8K n=50,thinking,2,"token_entropy_mean,paraphrase_consistency",50,-0.0196,-0.144,0.8860782454691085,0,0
GSM8K n=50,thinking,2,"token_entropy_mean,perturbation_delta_accuracy",50,0.2113,1.331,0.18942364766034014,1,0
